filename,HBcount,HBless1SD,HBless1.1SD,HBless1.5SD,dehydronCount,totalAtomsInPDB,totalAtomsInHBDD,totalUniqueAtomsInDDD,totalUniqueAtomsInHBDD
2Z3V_A.pdb,13,2.06245,1.768,0.871,12,2099,1320,1208,905
2ONQ_A.pdb,17,2.69705,2.312,1.139,13,875,1662,1224,617
3DP5_A.pdb,1,0.15865,0.136,0.067,1,1425,111,111,111
1KFW_A.pdb,97,15.38905,13.192,6.499,69,6401,10557,7164,4626
1B8A_A.pdb,106,16.8169,14.416,7.102,62,7164,11683,6363,4860
1AYO_A.pdb,46,7.2979,6.256,3.082,31,2035,5089,3310,1630
1ESW_A.pdb,91,14.43715,12.376,6.097,53,7974,10100,5421,5609
1F2R_C.pdb,20,3.173,2.72,1.34,15,1762,2747,2012,1032
1L6W_A.pdb,29,4.60085,3.944,1.943,26,3286,2896,2506,1856
1GUI_A.pdb,45,7.13925,6.12,3.015,26,2389,5005,2734,1765
1BHP_A.pdb,6,0.9519,0.816,0.402,6,685,610,610,273
2V8T_A.pdb,46,7.2979,6.256,3.082,34,4661,4935,3476,2757
1E6Y_E.pdb,100,15.865,13.6,6.7,84,6341,10900,8940,4747
1G10_A.pdb,33,5.23545,4.488,2.211,27,2122,4332,3460,1551
1AJS_A.pdb,82,13.0093,11.152,5.494,56,6492,9178,6028,4593
1EDG_A.pdb,54,8.5671,7.344,3.618,40,5930,5837,4177,3274
1HTW_A.pdb,39,6.18735,5.304,2.613,27,2510,4194,2772,1794
2ZCF_B.pdb,47,7.45655,6.392,3.149,29,3220,5025,2907,2115
1I5G_A.pdb,33,5.23545,4.488,2.211,19,2265,3690,1974,1707
3GD8_A.pdb,21,3.33165,2.856,1.407,17,3340,2271,1756,1385
1G6X_A.pdb,8,1.2692,1.088,0.536,3,888,835,285,412
3EPV_A.pdb,7,1.11055,0.952,0.469,6,1713,717,608,592
1K5N_A.pdb,94,14.9131,12.784,6.298,70,4355,10264,7362,3326
1G9J_A.pdb,103,16.34095,14.008,6.901,71,9659,11377,7536,6212
1NPI_A.pdb,16,2.5384,2.176,1.072,12,926,1565,1127,671
1MJN_A.pdb,25,3.96625,3.4,1.675,18,2865,2641,1830,1727
1G85_A.pdb,56,8.8844,7.616,3.752,38,2544,5991,3896,1755
256B_A.pdb,13,2.06245,1.768,0.871,12,1650,1296,1168,881
