filename,HBcount,HBless1SD,HBless1.1SD,HBless1.5SD,dehydronCount,totalAtomsInPDB,totalAtomsInHBDD,totalUniqueAtomsInDDD,totalUniqueAtomsInHBDD
3C4E_A.pdb,149,23.63885,20.264,9.983,14,4384,25501,1806,4204
3E2T_A.pdb,161,25.54265,21.896,10.787,20,4931,26999,2613,4619
3BBC_A.pdb,85,13.48525,11.56,5.695,19,2408,14067,2533,2367
2ZNR_A.pdb,93,14.75445,12.648,6.231,17,2788,15555,2166,2505
3G8D_B.pdb,252,39.9798,34.272,16.884,36,6850,42988,4678,6759
3FOJ_A.pdb,47,7.45655,6.392,3.149,14,1440,7393,1729,1372
3E08_G.pdb,182,28.8743,24.752,12.194,29,4518,30216,3643,4348
3B50_A.pdb,205,32.52325,27.88,13.735,28,4858,34983,3763,4790
2ZW1_A.pdb,21,3.33165,2.856,1.407,3,883,3424,389,770
3DCK_A.pdb,44,6.9806,5.984,2.948,6,1482,7096,637,1253
3FH2_A.pdb,19,3.01435,2.584,1.273,2,2297,3431,235,1300
3BOY_A.pdb,91,14.43715,12.376,6.097,25,2261,14858,3177,2154
2RCA_A.pdb,155,24.59075,21.08,10.385,36,4329,25671,4684,4223
2W5Q_A.pdb,226,35.8549,30.736,15.142,23,6792,39997,3193,6561
3DHI_E.pdb,60,9.519,8.16,4.02,12,1621,9599,1446,1575
2Z1Y_B.pdb,241,38.23465,32.776,16.147,37,6203,40959,4933,6116
2ZE3_A.pdb,180,28.557,24.48,12.06,43,4067,29581,5543,3973
3CNK_A.pdb,43,6.82195,5.848,2.881,2,1384,6593,254,1277
3CDT_A.pdb,111,17.61015,15.096,7.437,20,2622,18232,2618,2580
2ZKD_A.pdb,94,14.9131,12.784,6.298,21,3223,15860,2751,2987
2RHW_A.pdb,166,26.3359,22.576,11.122,16,4433,28940,2130,4296
3DT7_A.pdb,42,6.6633,5.712,2.814,1,9722,7503,124,3724
2VVM_A.pdb,258,40.9317,35.088,17.286,35,7412,45326,5031,7189
2RKN_A.pdb,46,7.2979,6.256,3.082,18,1080,6428,2225,1040
3B35_A.pdb,164,26.0186,22.304,10.988,35,4274,29071,5024,4161
8TLN_E.pdb,202,32.0473,27.472,13.534,28,4692,35218,3855,4594
2RLC_A.pdb,141,22.36965,19.176,9.447,18,5023,22753,2216,4734
2VYZ_A.pdb,45,7.13925,6.12,3.015,13,1606,6902,1631,1342
2VN6_A.pdb,81,12.85065,11.016,5.427,10,2201,12895,1212,2140
3CKG_A.pdb,131,20.78315,17.816,8.777,34,3479,21077,4522,3312
2Z8A_B.pdb,109,17.29285,14.824,7.303,24,2267,17711,3128,2256
2UWR_A.pdb,11,1.74515,1.496,0.737,2,1221,1830,269,573
3D1G_A.pdb,214,33.9511,29.104,14.338,24,5698,36666,3231,5435
2RKL_A.pdb,47,7.45655,6.392,3.149,16,847,7234,2105,834
2Z57_B.pdb,29,4.60085,3.944,1.943,5,1039,4583,579,901
2V6A_I.pdb,68,10.7882,9.248,4.556,13,2243,10314,1507,2138
2VB1_A.pdb,74,11.7401,10.064,4.958,22,2541,15456,3757,2447
3CHO_A.pdb,383,60.76295,52.088,25.661,43,9698,66494,5999,9473
3FJU_A.pdb,176,27.9224,23.936,11.792,20,4781,31089,2536,4644
2V0U_A.pdb,89,14.11985,12.104,5.963,12,2360,14644,1551,2252
2UXQ_A.pdb,253,40.13845,34.408,16.951,42,6373,42748,5242,6244
2RKQ_A.pdb,93,14.75445,12.648,6.231,17,2549,16114,2315,2496
2SIC_I.pdb,49,7.77385,6.664,3.283,17,1500,7433,2206,1319
3B7E_A.pdb,181,28.71565,24.616,12.127,24,5744,31607,3400,5483
3VUB_A.pdb,49,7.77385,6.664,3.283,8,1645,8168,1001,1488
3BN6_A.pdb,76,12.0574,10.336,5.092,3,2492,13410,406,2345
3CO1_A.pdb,2,0.3173,0.272,0.134,0,2150,325,0,313
3CJK_A.pdb,43,6.82195,5.848,2.881,7,1042,6888,920,1041
3ESL_B.pdb,144,22.8456,19.584,9.648,23,3391,23896,2919,3337
2VFX_E.pdb,105,16.65825,14.28,7.035,17,3332,17423,2163,2919
3EIP_A.pdb,43,6.82195,5.848,2.881,7,1309,6785,898,1241
2R6Q_A.pdb,73,11.58145,9.928,4.891,7,1960,11967,898,1863
3C61_A.pdb,60,9.519,8.16,4.02,8,4735,10249,1019,2847
3CG5_A.pdb,161,25.54265,21.896,10.787,31,3940,27894,4169,3894
256B_A.pdb,79,12.53335,10.744,5.293,26,1650,12719,3564,1643
3B7I_A.pdb,164,26.0186,22.304,10.988,35,4280,29130,5019,4119
2RI9_A.pdb,267,42.35955,36.312,17.889,40,7240,45915,5406,7106
3B7A_A.pdb,71,11.26415,9.656,4.757,10,1954,11627,1326,1896
2RLT_A.pdb,44,6.9806,5.984,2.948,5,2168,10701,712,1845
2ZQO_A.pdb,65,10.31225,8.84,4.355,2,2043,11307,243,1952
2ZGY_A.pdb,189,29.98485,25.704,12.663,34,5021,32057,4617,4819
2RN2_A.pdb,89,14.11985,12.104,5.963,15,2450,14961,2018,2304
2ZEX_A.pdb,52,8.2498,7.072,3.484,4,2213,9018,476,1981
3C4P_B.pdb,91,14.43715,12.376,6.097,16,2405,14836,1967,2352
2Z6R_B.pdb,149,23.63885,20.264,9.983,16,4223,25346,2129,4138
3FF5_A.pdb,38,6.0287,5.168,2.546,10,870,5795,1195,853
2UXY_A.pdb,186,29.5089,25.296,12.462,45,5211,31147,5796,5062
3D3Y_A.pdb,79,12.53335,10.744,5.293,5,6669,13516,664,3837
3EFI_A.pdb,123,19.51395,16.728,8.241,15,4017,21278,2084,3881
3F48_A.pdb,373,59.17645,50.728,24.991,26,8171,66842,3331,8054
3FG9_A.pdb,21,3.33165,2.856,1.407,4,2385,3479,490,1372
3G5W_A.pdb,168,26.6532,22.848,11.256,22,4986,28923,3029,4815
3GA3_A.pdb,73,11.58145,9.928,4.891,7,2169,12025,801,2105
3BIE_A.pdb,108,17.1342,14.688,7.236,16,3128,18096,2041,2956
2VEK_B.pdb,142,22.5283,19.312,9.514,21,3632,24108,2758,3501
2VDZ_A.pdb,236,37.4414,32.096,15.812,34,7257,40123,4233,7042
3DHM_A.pdb,21,3.33165,2.856,1.407,0,1638,3371,0,862
